QYEAR,NEWID,SEQNO,ALCNO,REC_ORIG,MISCCODE,MISC_ODE,MISCMO,MISCMO_,MISCGFTC,MISC_FTC,MISCEXPX,MISC_XPX,MISCDE1,MISCDE1_,MISCDE2,MISCDE2_,MISCDE3,MISCDE3_,MISCDE4,MISCDE4_,MISCDE5,MISCDE5_,MISCDE6,MISCDE6_,MISCDE7,MISCDE7_,MISCDE8,MISCDE8_,MISCDE9,MISCDE9_,MISPURCH
20181,03651684,19,0,1,250,D,11,D,1,D,157,F,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651744,17,0,1,370,D,13,D,1,D,34,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651744,18,0,1,330,D,12,D,2,D,130,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651774,15,0,1,180,D,13,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651774,16,0,2,180,D,11,D,1,D,250,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651774,17,0,2,370,D,11,D,1,D,20,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651834,25,0,1,260,D,01,D,1,D,220,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651834,26,0,1,240,D,01,D,1,D,110,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651884,31,0,1,140,D,12,D,1,D,30,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651884,32,0,1,330,D,12,D,2,D,400,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651884,33,0,1,240,D,13,D,1,D,595,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651944,20,0,2,240,D,11,D,1,D,350,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651944,21,0,2,260,D,11,D,1,D,117,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651944,22,0,2,240,D,11,D,1,D,49,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651974,26,0,1,140,D,01,D,2,D,70,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651974,27,0,1,400,D,01,D,1,D,530,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
20181,03651974,28,0,1,260,D,12,D,1,D,200,D,,A,,A,,A,,A,,A,,A,,A,,A,,A,
